feature	JV-015-RAN-IC-M2	BS-007-RAN-01-M3	BS-007-RAN-02-M3	KT-004-SOC-16-M1	BS-135-RAN-IC-M3	JV-070-DAV-07-M3	BS-129-RAT-10-M5	JV-036-SOC-10-M2	BS-126-RAT-05-M2	JV-017-RAN-10-M3	JV-070-DAV-04-M1	BS-356-RAN-03-M4	JV-090-MIN-IC-M4	BS-391-RAN-06-M2	JV-061-MIN-03-M5	JV-070-MIN-01-M1	KT-004-SOC-14-M1	JV-089-SOC-04-M1	BS-472-RAT-01-M1	BS-172-RAT-10-M3	KT-193D03	KT-247D03	KT-312D03	KT-347D03	KT-417D03	KT-522D03	KT-525D03	KT-565D03	KT-705D03
TG 48:1	3.1	0.0	6.36	0.0	6.61	3.9	4.88	0.0	2.09	2.58	1.05	4.24	0.0	0.0	7.33	0.0	8.45	6.03	0.0	11.43	0.2	0.61	0.49	0.0	0.0	0.38	0.0	0.0	0.0
TG 48:2	1.18	0.0	3.82	0.0	3.93	2.72	1.93	0.0	1.23	1.3	0.45	2.8	0.0	0.0	0.0	0.0	5.04	3.72	0.0	5.73	2.35	0.99	1.6	0.62	0.0	0.89	0.0	0.0	0.0
TG 48:3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.45	0.59	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0
TG 49:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.48	1.26	0.15	1.13	0.08	0.62	0.7	0.39	0.82	0.68
TG 50:0	1.03	0.0	0.0	0.0	1.23	0.0	1.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.93	0.0	1.73	2.49	2.03	6.22	1.98	0.0	1.87	0.53	1.35	0.55
TG 50:1	7.38	0.0	17.42	0.0	7.44	4.93	10.21	0.0	6.88	0.0	3.01	9.4	3.96	0.58	0.0	0.0	12.48	14.77	0.53	44.17	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
TG 50:2	0.0	0.6	8.19	0.0	1.2	3.59	0.0	0.0	1.0	0.0	2.03	3.34	1.89	0.0	0.0	0.0	4.15	4.22	0.0	13.27	0.0	0.0	1.17	0.0	0.0	0.59	0.0	0.0	0.0
TG 50:3	0.0	0.0	6.48	0.0	2.54	5.2	2.17	0.0	3.66	0.0	0.0	0.0	1.91	5.13	0.0	0.0	0.0	4.91	0.0	6.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 50:4	0.0	0.0	0.96	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	1.67	0.0	0.0	0.0	0.48	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 51:2	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.33	37.35	34.92	18.43	21.18	27.22	9.84	26.67	7.69
TG 52:3	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.57	0.0	0.0	0.42	0.0	0.0	0.0
TG 54:2	0.0	0.0	0.0	0.0	0.0	2.47	7.02	0.0	0.0	0.0	0.0	0.0	3.42	0.0	0.0	0.0	0.0	2.96	0.0	0.0	74.55	107.85	64.46	56.13	57.87	67.81	27.3	65.66	19.55
TG 54:3	2.81	1.54	18.68	0.0	7.06	10.29	20.24	0.32	17.14	15.83	0.57	0.0	8.48	23.06	9.21	0.0	0.0	10.05	14.76	23.77	20.25	23.8	27.15	28.53	32.88	71.42	21.71	51.65	11.64
TG 54:4	4.32	1.8	17.27	0.0	6.88	11.87	14.37	0.21	11.65	13.91	4.28	0.68	9.64	20.3	11.75	0.36	1.44	9.9	12.4	18.12	13.35	18.44	0.35	6.74	1.34	0.82	0.45	0.74	2.75
TG 54:5	5.33	1.24	12.75	0.66	7.28	7.7	6.15	0.63	5.07	7.1	2.48	0.49	6.01	11.97	10.24	0.65	1.67	7.52	8.95	10.19	0.0	0.74	2.12	0.73	0.0	0.0	0.0	0.0	0.0
TG 54:6	3.05	0.66	5.8	0.0	3.65	3.25	1.6	0.33	1.42	2.28	0.93	0.0	3.0	3.73	4.24	0.36	1.06	3.11	3.54	2.98	0.0	6.35	0.0	1.38	0.0	1.67	0.0	0.0	0.0
TG 56:5	1.4	0.46	0.0	0.0	2.16	0.0	0.0	0.0	1.61	4.79	0.96	0.0	2.22	2.25	0.0	0.0	0.56	1.67	3.83	2.96	4.63	13.14	14.76	10.2	0.0	0.9	0.16	2.51	0.61
TG 56:6	3.46	0.82	5.27	1.54	4.18	3.84	3.18	0.34	2.38	5.78	2.0	0.0	3.56	3.99	3.31	0.0	1.18	3.65	4.64	4.46	8.06	9.09	9.42	3.85	4.21	6.09	2.15	6.35	1.47
TG 56:7	3.73	0.7	4.37	1.91	3.77	4.9	2.33	0.62	1.59	3.02	3.2	0.0	3.18	3.55	2.72	0.0	1.09	2.8	3.23	3.0	3.54	6.35	7.3	7.43	3.44	0.45	0.74	0.57	2.31
TG 56:8	1.36	0.0	1.4	0.0	1.47	1.89	0.57	0.34	0.37	0.56	1.41	0.0	0.96	0.98	0.97	0.0	0.44	0.85	0.7	0.64	2.13	1.55	3.11	3.08	1.39	4.11	0.0	0.72	0.76
TG 58:7	0.57	0.0	0.83	0.0	0.73	0.93	0.68	0.16	0.0	0.98	0.76	0.0	0.49	0.56	0.52	0.0	0.0	0.45	0.63	0.62	4.21	3.38	3.35	5.25	2.76	6.31	1.9	1.6	1.86
TG 58:8	0.6	0.0	0.81	0.0	0.59	1.18	0.45	0.22	0.0	0.71	1.0	0.0	0.46	0.54	0.53	0.0	0.0	0.39	0.62	0.87	3.2	2.61	2.29	4.69	1.38	5.64	1.84	1.91	1.32
TG 58:9	0.0	0.0	0.0	0.0	0.45	0.66	0.0	0.14	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.72	1.34	0.0	1.72	0.56	0.0	0.0
FA 14:0	2.72	2.22	6.04	2.78	4.73	6.85	3.28	3.3	1.74	8.64	0.0	2.34	5.63	2.65	0.0	3.01	4.3	2.44	3.15	3.46	3.56	5.6	3.25	1.68	2.77	4.74	1.61	3.39	4.11
FA 16:0	74.65	70.65	186.84	44.4	105.41	160.4	95.44	60.54	54.04	215.53	51.7	77.35	150.46	83.25	47.3	75.8	67.83	48.38	77.97	119.51	122.72	161.7	62.24	38.9	92.56	108.58	59.84	109.27	102.98
FA 16:1	9.12	7.14	30.63	4.69	15.74	15.85	6.61	8.71	3.76	39.56	3.12	8.53	23.69	5.31	2.56	6.82	7.18	4.57	10.79	13.32	11.99	24.16	15.89	6.45	8.11	31.02	8.03	18.67	15.14
FA 18:0	20.64	22.4	59.48	20.32	30.57	51.29	48.12	18.07	21.77	49.4	26.75	30.29	36.52	25.65	15.05	23.97	27.48	16.07	24.6	37.17	37.99	44.22	22.71	15.87	35.07	33.68	23.45	31.88	36.68
FA 18:1	108.78	72.27	458.7	52.1	148.98	271.29	191.56	88.02	98.92	565.91	60.26	109.97	235.82	136.49	31.27	88.78	84.01	65.37	130.92	235.67	309.93	415.15	129.61	79.31	139.11	374.19	146.72	228.06	204.44
FA 18:2	55.75	34.58	151.3	28.07	58.58	123.4	71.71	29.36	32.17	166.35	30.87	52.97	108.16	55.79	24.57	41.85	50.74	29.63	40.07	75.16	101.73	122.71	52.59	30.77	66.15	108.01	54.13	83.98	89.14
FA 18:3	2.7	0.0	10.77	0.0	4.37	6.4	2.16	1.79	0.0	6.25	0.0	2.88	10.5	0.0	0.0	2.39	3.22	0.0	0.0	2.7	3.02	3.75	2.29	0.0	0.0	3.12	1.1	0.0	2.77
FA 20:3	0.0	3.42	3.87	0.0	2.82	2.2	2.25	1.54	0.0	3.81	0.0	2.54	4.98	0.0	0.0	0.0	2.31	0.0	2.85	2.38	2.45	3.38	0.0	0.0	0.0	3.54	1.33	0.0	1.68
FA 20:4	7.73	21.32	14.25	13.63	14.59	8.89	12.7	6.27	6.99	15.29	7.53	14.34	17.21	6.93	8.25	6.62	21.34	11.36	11.33	10.11	0.0	1.85	1.11	0.0	0.0	1.74	0.99	0.0	0.0
PI 34:1	0.0	12.55	4.47	0.0	4.4	0.0	0.0	7.47	4.19	0.0	3.0	0.0	0.0	5.78	4.72	0.0	4.95	0.0	7.31	0.0	0.0	0.0	2.18	0.0	0.0	0.0	0.0	0.0	0.0
PI 34:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.09	2.39	0.0	0.0	0.0	0.0	3.62	3.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PI 36:2	0.0	9.41	8.67	0.0	5.16	6.93	0.0	6.37	9.06	0.0	8.58	6.66	6.29	9.31	9.9	3.79	6.58	4.3	8.76	6.18	3.77	5.29	5.12	5.38	7.5	0.0	2.8	11.87	4.45
PI 36:4	0.0	7.48	8.36	0.0	7.43	3.88	0.0	10.51	2.78	0.0	3.2	5.5	0.0	7.02	6.63	0.0	4.99	0.0	7.34	5.44	0.0	0.0	4.44	0.0	0.0	0.0	0.0	0.0	0.0
PI 38:3	0.0	7.7	6.31	0.0	0.0	0.0	0.0	4.03	5.55	0.0	3.98	0.0	0.0	6.36	16.84	0.0	4.07	0.0	11.84	5.66	0.0	0.15	0.97	0.0	0.0	0.0	0.0	0.0	0.0
PI 38:4	24.21	48.29	41.24	27.64	31.8	39.56	17.98	28.11	29.37	27.29	44.73	30.23	26.86	45.63	53.99	21.73	26.25	41.14	74.7	29.18	23.56	32.19	28.51	21.82	23.66	31.66	16.2	34.1	21.23
